OTU	MQ210406-101	MQ210406-102	MQ210406-103	MQ210406-104	MQ210406-105	MQ210406-106	MQ210406-107	MQ210406-113	MQ210406-116	MQ210406-119	MQ210406-12	MQ210406-137	MQ210406-13	MQ210406-140	MQ210406-159	MQ210406-160	MQ210406-19	MQ210406-1	MQ210406-20	MQ210406-21	MQ210406-22	MQ210406-23	MQ210406-24	MQ210406-31	MQ210406-32	MQ210406-33	MQ210406-34	MQ210406-35	MQ210406-36	MQ210406-37	MQ210406-38	MQ210406-39	MQ210406-40	MQ210406-41	MQ210406-48	MQ210406-49	MQ210406-50	MQ210406-51	MQ210406-52	MQ210406-53	MQ210406-54	MQ210406-55	MQ210406-56	MQ210406-57	MQ210406-58	MQ210406-59	MQ210406-60	MQ210406-61	MQ210406-62	MQ210406-63	MQ210406-66	MQ210406-67	MQ210406-68	MQ210406-69	MQ210406-75	MQ210406-78	MQ210406-81	MQ210406-82	MQ210406-83	MQ210406-84	MQ210406-86	MQ210406-87	MQ210406-89	MQ210406-90	MQ210406-91	MQ210406-92	MQ210406-93	MQ210406-94	MQ210406-9	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu21	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	1	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	d__Bacteria	p__Chloroflexi	c__AD3	o__AD3	f__AD3	g__AD3	s__
Zotu22	14	0	32	35	0	0	0	0	0	0	3	0	4	0	0	0	0	2	3	3	0	0	40	53	0	2	1	0	0	4	11	6	1	0	0	2	0	0	0	104	0	0	4	2	15	4	21	7	15	57	16	14	19	14	0	0	11	0	19	5	22	38	30	6	8	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__	s__
Zotu24	31	16	17	30	13	0	12	0	0	0	9	0	6	0	0	0	0	40	4	30	0	28	12	5	5	14	9	7	19	10	16	2	2	1	6	37	5	10	11	101	12	3	19	17	14	26	16	16	13	38	15	18	16	15	0	0	28	12	17	4	39	19	24	27	27	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu25	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu26	16	0	28	37	1	0	0	0	0	0	5	0	8	0	0	0	0	7	2	6	0	2	46	49	0	2	0	0	0	5	11	4	1	0	0	3	0	0	0	105	1	0	6	4	11	7	25	12	16	47	18	15	17	5	0	0	12	3	12	2	37	45	20	5	7	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu29	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
